Unnamed: 0,UNNAMED: 0,ASSET_NAME,ASSET_ID,ASSET_TYPE,OPERATING_STATUS,POOL_PARTICIPANT_NAME,POOL_PARTICIPANT_ID,NET_TO_GRID_ASSET_FLAG,ASSET_INCL_STORAGE_FLAG,REGION,TYPE,POOL_ID
2223,2223,PGE2 PGAE BCH EXPORT 2,PGE2,SINK,Retired,PG & E Energy Trading ,PGET,,,,,
2224,2224,PGE3 PGAE BCH EXPORT 3,PGE3,SINK,Retired,PG & E Energy Trading ,PGET,,,,,
2225,2225,PGE4 PGAE BCH EXPORT 4,PGE4,SINK,Retired,PG & E Energy Trading ,PGET,,,,,
2226,2226,PGE5 PGAE BCH EXPORT 5,PGE5,SINK,Retired,PG & E Energy Trading ,PGET,,,,,
2227,2227,PGE6 PGAE BCH EXPORT 6,PGE6,SINK,Retired,PG & E Energy Trading ,PGET,,,,,
2228,2228,PGE7 PGAE BCH EXPORT 7,PGE7,SINK,Retired,PG & E Energy Trading ,PGET,,,,,
2229,2229,PGAE EXPORT TO BCH #9,PGE8,SINK,Retired,PG & E Energy Trading ,PGET,,,,,
2230,2230,PGAE EXPORT TO BCH #10,PGE9,SINK,Retired,PG & E Energy Trading ,PGET,,,,,
2231,2231,PGEA PGAE SPC EXPORT 1,PGEA,SINK,Retired,PG & E Energy Trading,PGET,,,,,
2232,2232,PGEB PGAE SPC EXPORT 2,PGEB,SINK,Retired,PG & E Energy Trading ,PGET,,,,,
2233,2233,PGEC PGAE SPC EXPORT 3,PGEC,SINK,Retired,PG & E Energy Trading ,PGET,,,,,
2234,2234,PGED PGAE SPC EXPORT 4,PGED,SINK,Retired,PG & E Energy Trading ,PGET,,,,,
2235,2235,PGEE PGAE SPC EXPORT 5,PGEE,SINK,Retired,PG & E Energy Trading ,PGET,,,,,
2236,2236,PGEF PGAE SPC EXPORT 6,PGEF,SINK,Retired,PG & E Energy Trading ,PGET,,,,,
2237,2237,PGEG PGAE SPC EXPORT 7,PGEG,SINK,Retired,PG & E Energy Trading ,PGET,,,,,
2238,2238,PGAE EXPORT TO SPC #8,PGEH,SINK,Retired,PG & E Energy Trading ,PGET,,,,,
2239,2239,PGAE EXPORT TO SPC #9,PGEI,SINK,Retired,PG & E Energy Trading ,PGET,,,,,
2240,2240,PGAE EXPORT TO SPC #10,PGEJ,SINK,Retired,PG & E Energy Trading ,PGET,,,,,
2241,2241,PGAE IMPORT FROM BCH #1,PGI0,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2242,2242,PGAE IMPORT FROM BCH #2,PGI1,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2243,2243,PGAE IMPORT FROM BCH #3,PGI2,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2244,2244,PGAE IMPORT FROM BCH #4,PGI3,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2245,2245,PGAE IMPORT FROM BCH #5,PGI4,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2246,2246,PGAE IMPORT FROM BCH #6,PGI5,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2247,2247,PGAE IMPORT FROM BCH #7,PGI6,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
2248,2248,PGAE IMPORT FROM BCH #8,PGI7,SOURCE,Retired,PG & E Energy Trading ,PGET,,,,,
